Contig,Number of Duplicates
1,30
17,20
5,17
44,15
8,14
43,13
50,13
2,12
12,12
3,11
11,11
58,11
7,10
15,10
162,10
4,9
6,9
9,9
14,9
16,9
23,9
26,9
36,9
65,9
28,8
34,8
39,8
88,8
124,8
10,7
13,7
19,7
21,7
24,7
30,7
31,7
35,7
37,7
52,7
67,7
77,7
95,7
20,6
38,6
56,6
60,6
68,6
132,6
27,5
40,5
85,5
106,5
135,5
153,5
177,5
180,5
192,5
269,5
289,5
18,4
33,4
42,4
47,4
71,4
76,4
92,4
96,4
98,4
116,4
129,4
138,4
151,4
313,4
1600,4
25,3
32,3
45,3
46,3
55,3
57,3
73,3
83,3
86,3
89,3
94,3
100,3
109,3
117,3
136,3
141,3
150,3
160,3
173,3
179,3
190,3
231,3
248,3
254,3
283,3
316,3
331,3
369,3
434,3
1885,3
22,2
41,2
49,2
53,2
64,2
66,2
78,2
82,2
87,2
93,2
102,2
110,2
112,2
114,2
123,2
126,2
131,2
133,2
140,2
143,2
145,2
146,2
148,2
149,2
159,2
166,2
188,2
191,2
194,2
213,2
216,2
230,2
262,2
274,2
279,2
284,2
300,2
315,2
354,2
355,2
363,2
371,2
392,2
408,2
422,2
446,2
470,2
483,2
530,2
578,2
631,2
708,2
715,2
789,2
853,2
925,2
996,2
1015,2
1047,2
1083,2
1087,2
1183,2
1240,2
1322,2
1335,2
1341,2
1376,2
1534,2
1659,2
2199,2
2544,2
2687,2
2879,2
3039,2
3080,2
3452,2
3749,2
3772,2
4599,2
5135,2
5352,2
6149,2
6497,2
6808,2
7101,2
9989,2
10037,2
13567,2
20957,2
48,1
51,1
54,1
59,1
61,1
69,1
70,1
72,1
74,1
75,1
79,1
80,1
84,1
91,1
97,1
99,1
103,1
104,1
105,1
108,1
111,1
115,1
118,1
119,1
121,1
127,1
130,1
137,1
139,1
154,1
158,1
161,1
163,1
164,1
165,1
168,1
169,1
175,1
181,1
182,1
183,1
184,1
187,1
195,1
197,1
198,1
201,1
204,1
205,1
211,1
218,1
221,1
222,1
225,1
226,1
228,1
229,1
244,1
245,1
246,1
256,1
257,1
267,1
268,1
277,1
291,1
295,1
297,1
299,1
302,1
306,1
308,1
311,1
318,1
320,1
325,1
327,1
330,1
333,1
338,1
340,1
360,1
361,1
362,1
367,1
376,1
391,1
399,1
402,1
404,1
427,1
428,1
429,1
433,1
435,1
436,1
437,1
440,1
445,1
448,1
451,1
453,1
458,1
461,1
469,1
488,1
492,1
494,1
498,1
503,1
512,1
520,1
525,1
526,1
528,1
547,1
562,1
564,1
565,1
567,1
583,1
585,1
596,1
599,1
605,1
609,1
611,1
612,1
617,1
633,1
638,1
641,1
642,1
649,1
658,1
660,1
664,1
672,1
674,1
675,1
682,1
685,1
688,1
695,1
709,1
710,1
713,1
717,1
719,1
740,1
741,1
755,1
756,1
760,1
763,1
768,1
773,1
786,1
793,1
799,1
816,1
837,1
840,1
844,1
845,1
850,1
852,1
880,1
895,1
904,1
917,1
947,1
961,1
968,1
970,1
986,1
1026,1
1032,1
1043,1
1096,1
1104,1
1115,1
1116,1
1119,1
1123,1
1125,1
1131,1
1141,1
1145,1
1153,1
1168,1
1177,1
1185,1
1186,1
1199,1
1215,1
1227,1
1234,1
1246,1
1255,1
1256,1
1266,1
1273,1
1295,1
1309,1
1324,1
1333,1
1348,1
1364,1
1369,1
1381,1
1389,1
1398,1
1404,1
1418,1
1428,1
1441,1
1466,1
1467,1
1470,1
1486,1
1495,1
1496,1
1501,1
1508,1
1527,1
1537,1
1552,1
1557,1
1610,1
1632,1
1634,1
1642,1
1677,1
1685,1
1703,1
1706,1
1708,1
1711,1
1739,1
1756,1
1765,1
1767,1
1788,1
1791,1
1800,1
1814,1
1819,1
1827,1
1833,1
1834,1
1836,1
1837,1
1851,1
1853,1
1896,1
1899,1
1909,1
1919,1
1922,1
1940,1
1948,1
1952,1
1965,1
1970,1
1972,1
1973,1
1986,1
1997,1
2006,1
2017,1
2070,1
2085,1
2127,1
2130,1
2143,1
2147,1
2152,1
2155,1
2168,1
2170,1
2219,1
2228,1
2240,1
2247,1
2255,1
2274,1
2291,1
2295,1
2322,1
2339,1
2340,1
2342,1
2348,1
2351,1
2369,1
2385,1
2392,1
2401,1
2409,1
2413,1
2439,1
2440,1
2452,1
2466,1
2473,1
2485,1
2490,1
2502,1
2503,1
2528,1
2559,1
2583,1
2595,1
2618,1
2633,1
2649,1
2666,1
2698,1
2705,1
2707,1
2713,1
2734,1
2750,1
2758,1
2787,1
2789,1
2803,1
2814,1
2816,1
2835,1
2838,1
2844,1
2849,1
2859,1
2868,1
2875,1
2896,1
2917,1
2918,1
2946,1
2953,1
2975,1
2982,1
3002,1
3048,1
3069,1
3101,1
3113,1
3116,1
3117,1
3134,1
3142,1
3209,1
3250,1
3278,1
3292,1
3299,1
3314,1
3327,1
3366,1
3390,1
3397,1
3401,1
3424,1
3433,1
3435,1
3439,1
3450,1
3459,1
3474,1
3476,1
3481,1
3517,1
3527,1
3543,1
3569,1
3579,1
3580,1
3582,1
3583,1
3593,1
3653,1
3663,1
3692,1
3693,1
3729,1
3739,1
3747,1
3759,1
3798,1
3842,1
3913,1
3925,1
3933,1
3952,1
3970,1
3977,1
3996,1
4004,1
4034,1
4047,1
4057,1
4058,1
4135,1
4149,1
4176,1
4226,1
4240,1
4244,1
4274,1
4283,1
4308,1
4318,1
4323,1
4326,1
4356,1
4371,1
4376,1
4378,1
4406,1
4471,1
4498,1
4500,1
4505,1
4527,1
4532,1
4541,1
4593,1
4624,1
4649,1
4651,1
4652,1
4696,1
4706,1
4717,1
4720,1
4722,1
4734,1
4758,1
4767,1
4809,1
4822,1
4929,1
4935,1
5007,1
5024,1
5027,1
5045,1
5055,1
5066,1
5154,1
5163,1
5167,1
5209,1
5223,1
5232,1
5286,1
5302,1
5321,1
5323,1
5343,1
5386,1
5388,1
5390,1
5404,1
5415,1
5440,1
5453,1
5478,1
5501,1
5607,1
5664,1
5670,1
5685,1
5701,1
5803,1
5873,1
5897,1
5906,1
5913,1
5944,1
6017,1
6027,1
6060,1
6104,1
6110,1
6168,1
6211,1
6218,1
6228,1
6231,1
6316,1
6318,1
6403,1
6499,1
6651,1
6682,1
6694,1
6708,1
6715,1
6771,1
6801,1
6813,1
6818,1
6848,1
6900,1
6931,1
6951,1
6974,1
7012,1
7050,1
7080,1
7094,1
7212,1
7260,1
7329,1
7493,1
7534,1
7600,1
7639,1
7692,1
7727,1
7744,1
7850,1
7889,1
8019,1
8027,1
8035,1
8244,1
8289,1
8310,1
8378,1
8394,1
8422,1
8431,1
8492,1
8583,1
8586,1
8590,1
8592,1
8646,1
8753,1
8814,1
8828,1
8922,1
9254,1
9309,1
9363,1
9416,1
9469,1
9506,1
9635,1
9646,1
9700,1
9742,1
9859,1
9867,1
9871,1
9895,1
10104,1
10114,1
10144,1
10187,1
10321,1
10419,1
10438,1
10448,1
10449,1
10485,1
10501,1
10518,1
10707,1
10879,1
10887,1
11069,1
11217,1
11258,1
11342,1
11486,1
11663,1
11788,1
11871,1
11887,1
11891,1
11977,1
12011,1
12015,1
12018,1
12096,1
12120,1
12141,1
12168,1
12229,1
12253,1
12293,1
12308,1
12336,1
12367,1
12558,1
12745,1
12757,1
12774,1
13212,1
13250,1
13340,1
13423,1
13535,1
13860,1
13912,1
13989,1
14007,1
14153,1
14157,1
14264,1
14406,1
14794,1
14981,1
15023,1
15322,1
15706,1
15799,1
15857,1
15885,1
16090,1
16146,1
16492,1
16513,1
16548,1
16556,1
16769,1
16863,1
16953,1
17038,1
17168,1
17198,1
17294,1
17338,1
17424,1
17581,1
17705,1
18040,1
18577,1
19293,1
19408,1
19855,1
20180,1
20439,1
20756,1
21173,1
21555,1
21566,1
22845,1
22867,1
22869,1
23193,1
23929,1
24280,1
24298,1
24509,1
24672,1
24879,1
25974,1
26251,1
26476,1
26580,1
27892,1
27919,1
29771,1
30806,1
31290,1
32637,1
33039,1
33364,1
33967,1
33998,1
36396,1
37175,1
40371,1
43628,1
44184,1
46294,1
49825,1
53238,1
53985,1
55443,1
70752,1
